picture     successed       runtime
1           y               4.53
2           y               3.8/13.89
3           y               9.9
4           y               0.11
5           y               10.20
6           y               10.93
7           y               20.40
8           y               0.58
9           y               7.59
10          y               0.45
11          y               8.44
12          y               23.56               
13          y               19.38
14          y               16.59
15          y               5.14
16          y               22.02
